Q1,Q1a,Q2,Q2a,Q3,Q3a,Q4,Q4a,Q5,Q5a,Q6,Q6a,Q7,Q7a,Q8,Q8a,LOA,Q25,Q26,Q27,W1,W2,W3,W4,CR_1,Congruence_1,Dissonance_1,Koczkodaj_1
1,8,3,7,2,9,2,7,2,9,2,9,4,4,4,4,4,Male,27,Nigeria,13,3,13,71,0.206378917,1.039720771,0,0.875
3,9,3,9,2,9,2,9,2,9,3,8,5,5,5,5,5,Female,29,Nigeria,10,6,31,53,0.247938171,1.098612289,0,0.888888889
1,9,1,9,3,9,2,6,2,7,2,7,5,5,3,5,4.5,Female,25,Nigeria,47,4,9,41,0.163818472,1.021536949,0,0.833333333
2,7,3,6,2,8,1,6,3,7,2,7,-2,3,-1,4,1,Female,27,Nigeria,6,42,7,45,0.001965772,0.143841036,0,0.142857143
3,7,1,7,2,8,1,8,3,8,2,9,5,5,5,4,4.75,Male,29,Nigeria,17,29,4,50,0.194983849,1.039720771,0,0.875
2,9,2,8,2,9,3,8,3,8,3,8,2,3,3,2,2.5,Male,25,Nigeria,4,32,31,32,0.000655558,0.058891518,0,0.111111111
1,7,2,8,2,8,2,7,2,5,1,7,3,3,3,5,3.5,Female,22,Nigeria,8,4,65,23,0.426904533,2.012675845,0.25,0.910714286
1,6,1,6,3,5,3,4,2,5,2,5,3,3,2,3,2.75,Male,24,Nigeria,44,8,8,40,0.001571435,0.091160778,0,0.166666667
3,8,2,8,3,8,1,8,1,8,2,8,5,5,5,5,5,Female,25,India,12,56,12,20,1.289766035,3.119162313,0.333333333,0.984375
1,7,1,7,2,7,2,7,2,7,2,7,4,4,4,4,4,Male,28,United States,24,3,9,63,0.386891831,1.945910149,0,0.857142857
1,6,1,7,2,8,2,7,2,8,2,7,4,4,-3,3,2,Male,26,Nigeria,22,3,9,66,0.38952267,1.945910149,0.25,0.87755102
2,7,2,7,2,9,3,8,2,8,2,8,3,3,3,3,3,Male,23,Nigeria,3,14,14,69,0.167756696,0.914063557,0,0.839285714
1,8,2,8,3,8,2,8,2,7,1,8,3,1,2,2,2,Male,20,Nigeria,14,3,69,14,0.206378917,1.039720771,0,0.875
1,8,2,8,1,6,2,5,2,6,2,7,-3,4,-2,2,0.25,Male,37,United Kingdom,31,5,31,33,1.708599106,2.90855558,0.5,0.99702381
2,6,2,6,3,6,3,6,3,6,3,6,2,2,3,3,2.5,Male,27,Nigeria,9,34,34,22,0.16080706,0.895879735,0,0.833333333
1,7,2,7,2,8,3,8,2,9,2,9,4,4,5,4,4.25,Female,24,Ecuador,9,5,14,73,0.658142506,1.945910149,0.25,0.979591837
2,5,1,5,2,5,1,2,2,5,2,5,5,5,5,5,5,Female,25,United Kingdom,12,21,7,60,0.309377667,1.609437912,0.166666667,0.92
1,4,2,6,2,6,1,5,2,6,3,5,5,5,5,5,5,Female,30,Nigeria,12,14,22,52,1.139137063,2.393745871,0.416666667,0.991666667
1,6,3,6,2,8,3,6,2,7,2,7,2,2,3,5,3,Male,30,Nigeria,15,6,10,70,0.174435459,0.962645431,0.083333333,0.854166667
1,9,1,9,1,9,2,9,2,9,2,9,5,4,4,4,4.25,Male,33,Nigeria,68,3,8,22,0.503905266,2.197224577,0,0.888888889
1,6,1,8,2,8,2,7,2,7,2,8,4,4,5,3,4,Male,34,Nigeria,22,3,8,66,0.448245714,2.079441542,0.333333333,0.892857143
3,6,3,6,3,6,1,5,3,6,2,6,0,-2,0,4,0.5,Female,23,Nigeria,22,33,10,35,0.145454716,0.895879735,0,0.833333333
1,6,1,6,2,8,1,6,2,7,2,8,-1,-1,1,0,-0.25,Female,33,Ghana,21,9,4,67,0.325259917,1.791759469,0.083333333,0.854166667
2,6,3,6,1,6,2,6,2,6,2,6,3,2,2,2,2.25,Male,35,Nigeria,24,15,24,37,1.877507444,3.583518938,0.583333333,0.99537037
3,9,3,9,3,9,3,9,3,9,3,9,5,5,5,5,5,Male,33,Nigeria,25,25,25,25,0,0,0,0
1,8,2,7,1,6,2,6,2,6,3,6,4,3,-1,2,2,Female,22,China,30,4,47,18,0.6047669,1.868834809,0.333333333,0.976190476
1,4,3,6,3,9,2,5,3,5,3,5,5,5,5,5,5,Male,25,United Kingdom,32,11,34,23,0.112534858,0.804718956,0,0.8
1,9,1,8,1,9,2,9,2,8,1,9,1,5,-1,0,1.25,Female,28,United States,66,3,24,7,0.446704654,2.079441542,0,0.875
1,8,3,9,3,9,2,8,2,8,3,9,5,5,5,5,5,Female,35,Nigeria,32,4,32,32,0,0,0,0
1,8,3,7,3,9,2,7,2,8,3,8,3,3,3,3,3,Male,39,Nigeria,32,4,31,32,0.000842652,0.066765696,0,0.125
3,5,1,6,1,6,1,7,3,6,2,8,0,0,1,1,0.5,Male,60,United Kingdom,45,30,4,20,0.191784727,1.039720771,0.083333333,0.875
1,6,2,7,2,7,2,8,2,7,2,7,2,4,3,3,3,Male,26,Switzerland,9,3,25,63,0.357841905,1.868834809,0.083333333,0.875
1,7,3,7,3,6,2,5,2,5,3,7,4,2,4,4,3.5,Male,24,Zambia,33,6,31,31,0.005360896,0.168236118,0,0.285714286
3,6,2,7,2,7,2,6,2,6,3,6,4,4,4,4,4,Female,34,Nigeria,6,7,43,43,0.001123119,0.07707534,0,0.142857143
3,2,2,5,3,4,3,3,3,4,1,5,1,1,1,-1,0.5,Female,23,China,15,22,49,15,0.128424646,0.804718956,0,0.8
3,8,1,8,2,8,1,8,2,5,2,8,2,3,5,3,3.25,Female,22,Nigeria,15,17,3,64,0.180104782,1.039720771,0,0.875
1,9,1,9,1,8,1,8,1,8,3,6,4,2,-2,-2,0.5,Male,30,France,68,22,5,5,0.234545839,1.098612289,0.083333333,0.888888889
2,8,2,6,2,8,1,8,1,8,2,8,3,5,3,3,3.5,Female,24,Russia,3,66,8,23,0.385101298,1.935600505,0,0.875
3,9,1,8,3,9,1,9,2,9,2,9,3,-2,3,2,1.5,Female,23,India,29,17,3,51,0.248603931,1.157503806,0,0.888888889
1,5,1,6,2,9,2,6,2,9,2,9,1,1,1,3,1.5,Female,27,Nigeria,18,3,8,70,0.326208217,1.791759469,0.166666667,0.861111111
3,8,1,9,2,8,1,8,3,9,2,8,3,2,1,5,2.75,Female,28,Nigeria,18,29,4,49,0.234545839,1.098612289,0.083333333,0.888888889
1,5,1,8,3,8,3,6,2,7,2,6,5,2,5,5,4.25,Female,32,Nigeria,43,7,6,44,0.01044203,0.312077155,0,0.375
3,9,1,9,3,9,1,9,3,9,2,9,5,5,5,5,5,Female,,Nigeria,32,32,4,32,0,0,0,0
3,6,1,6,2,8,1,6,2,8,2,8,4,3,4,5,4,Female,26,Nigeria,14,14,4,69,0.16080706,0.895879735,0,0.833333333
3,5,1,6,2,7,1,7,2,6,2,6,2,2,2,2,2,Female,26,Nigeria,15,17,4,64,0.192547277,1.050030414,0.166666667,0.857142857
1,7,2,7,2,9,2,8,2,9,3,9,1,3,4,5,3.25,Female,29,Nigeria,9,3,42,46,0.179943965,1.031846592,0,0.857142857
1,7,1,7,1,6,1,8,2,6,2,6,3,2,5,2,3,Male,25,India,63,10,4,24,0.356598766,1.858525166,0.166666667,0.875
1,7,3,5,1,5,2,6,2,6,1,7,3,5,2,-2,2,Male,25,Greece,41,4,43,11,0.151391778,0.972955075,0.083333333,0.857142857
3,9,1,9,2,9,1,9,3,9,2,9,-1,5,5,5,3.5,Male,30,Nigeria,17,29,3,51,0.247938171,1.098612289,0,0.888888889
1,9,1,9,2,9,1,7,2,8,2,9,5,2,5,5,4.25,Male,31,Nigeria,23,7,3,67,0.447893875,2.071567363,0.166666667,0.901234568
1,8,1,8,1,8,1,7,2,8,2,7,3,1,1,2,1.75,Female,24,China,66,8,3,23,0.416715879,2.012675845,0.083333333,0.875
1,9,3,9,2,9,1,7,2,9,3,9,1,5,2,5,3.25,Female,23,Cyprus,19,11,12,58,1.313733761,3.170179652,0.333333333,0.984126984
1,9,1,9,2,9,1,9,2,9,2,9,5,5,5,5,5,Female,25,Nigeria,22,8,2,68,0.503905266,2.197224577,0,0.888888889
3,9,1,9,3,9,1,9,3,9,2,9,5,5,5,5,5,Male,,Nigeria,32,32,4,32,0,0,0,0
1,5,2,5,2,7,2,5,2,5,2,5,3,-1,3,5,2.5,Male,37,Nigeria,10,5,25,60,0.26496802,1.609437912,0.083333333,0.857142857
2,7,3,9,2,9,1,9,2,9,2,9,4,-1,3,5,2.75,Female,26,Nigeria,5,22,4,69,0.221367061,1.098612289,0,0.888888889
1,8,2,7,2,5,2,7,2,8,2,7,-3,3,3,-2,0.25,Male,25,Nigeria,10,3,25,62,0.395203768,1.945910149,0.25,0.897959184
1,9,3,7,2,9,1,9,2,9,2,9,5,4,2,5,4,Female,24,Nigeria,14,8,5,73,0.879889843,2.197224577,0.166666667,0.987654321
3,9,1,7,2,9,1,7,3,9,2,7,-3,4,2,5,2,Male,34,Nigeria,17,29,4,50,0.247938171,1.098612289,0.083333333,0.888888889
3,7,1,6,3,7,3,7,3,7,3,7,3,3,3,3,3,Female,24,Laos,37,24,15,24,0.16080706,0.895879735,0,0.833333333
1,8,1,8,2,8,3,9,2,9,2,9,5,3,5,5,4.5,Male,25,Nigeria,23,5,5,68,0.194710109,0.980829253,0,0.859375
1,7,1,7,2,7,2,7,2,7,2,7,3,4,3,3,3.25,Male,26,Nigeria,24,3,9,63,0.386891831,1.945910149,0,0.857142857
1,9,1,9,2,9,2,9,1,9,2,9,5,5,5,5,5,Male,28,Nigeria,38,12,12,38,3.685470269,4.394449155,0.5,0.998628258
1,8,1,7,2,9,3,6,2,9,2,7,2,0,1,5,2,Male,30,Nigeria,22,5,5,68,0.23615509,1.165377985,0.083333333,0.888888889
3,6,1,7,2,9,1,9,2,9,2,9,-2,2,5,5,2.5,Male,30,Nigeria,13,14,3,71,0.221367061,1.098612289,0,0.888888889
3,9,1,9,3,8,1,6,2,9,2,8,5,3,4,4,4,Female,26,Nigeria,30,16,4,51,0.220425827,1.157503806,0.083333333,0.888888889
2,6,1,6,2,6,1,6,2,7,2,7,-1,2,4,3,2,Male,29,Nigeria,10,23,4,63,0.325624809,1.791759469,0.083333333,0.857142857
3,8,1,8,3,9,1,9,3,9,2,7,5,5,3,5,4.5,Female,30,Nigeria,32,33,4,31,0.002242917,0.125657214,0,0.222222222
1,6,2,6,2,6,1,6,3,6,2,6,5,4,3,4,4,Female,31,Nigeria,14,21,14,52,1.500440818,2.687639204,0.416666667,0.99537037
1,8,2,7,2,9,2,8,2,9,2,9,3,5,4,5,4.25,Male,30,Nigeria,8,3,21,69,0.416715879,2.012675845,0,0.875
1,9,1,9,2,9,1,9,2,9,2,9,5,2,2,5,3.5,Female,31,Nigeria,22,8,2,68,0.503905266,2.197224577,0,0.888888889
1,8,1,9,2,9,3,6,2,9,2,9,5,4,4,5,4.5,Male,27,Nigeria,22,5,4,69,0.234545839,1.098612289,0,0.888888889
1,8,2,7,2,9,1,9,2,9,2,9,-2,4,1,4,1.75,Female,29,Nigeria,9,9,8,75,2.056094989,3.111288134,0.25,0.998015873
3,6,1,6,1,6,2,6,1,6,1,7,5,-5,-5,5,0,Female,25,Nigeria,46,19,31,5,0.543324934,1.791759469,0.25,0.972222222
1,7,1,7,2,8,2,7,2,7,2,8,3,-1,1,5,2,Female,27,Nigeria,22,3,8,66,0.416715879,2.012675845,0.166666667,0.875
2,8,2,8,2,8,2,8,2,8,3,8,5,5,4,5,4.75,Male,29,Nigeria,3,9,44,44,0.220400459,1.039720771,0,0.875
2,8,2,9,2,9,2,8,2,9,2,9,3,3,2,5,3.25,Male,25,Nigeria,3,8,22,68,0.447603981,2.079441542,0,0.888888889
2,8,1,8,2,8,1,8,2,8,2,8,2,4,3,4,3.25,Female,22,Nigeria,8,23,3,66,0.446704654,2.079441542,0,0.875
3,5,1,8,3,5,1,5,2,6,2,7,3,1,1,-2,0.75,Male,24,Nigeria,31,18,5,47,0.138303854,0.962645431,0,0.833333333
3,8,3,8,3,8,3,8,3,8,3,8,5,5,5,5,5,Female,25,India,25,25,25,25,0,0,0,0
1,8,1,7,2,8,1,8,2,7,2,8,4,4,4,4,4,Male,28,United States,23,9,3,65,0.44901566,2.079441542,0.333333333,0.890625
1,6,3,7,2,9,1,6,2,7,2,6,-2,-3,3,5,0.75,Male,26,Nigeria,14,10,6,70,0.584146919,1.994492023,0.333333333,0.972222222
3,7,2,6,2,9,3,8,3,7,2,9,2,2,2,4,2.5,Male,23,Nigeria,7,19,17,57,0.413297128,1.994492023,0,0.888888889
1,8,1,8,2,8,1,7,2,7,2,8,4,2,1,3,2.5,Male,20,Nigeria,24,8,3,65,0.419002255,2.012675845,0.166666667,0.890625
3,6,2,3,2,8,2,3,2,8,2,7,-2,3,3,5,2.25,Male,37,United Kingdom,7,7,16,70,0.044824667,0.482540448,0,0.619047619
3,6,2,5,3,7,1,8,2,8,2,8,3,4,1,4,3,Male,27,Nigeria,13,20,11,56,1.028520641,2.884160498,0.333333333,0.975
2,8,1,7,3,9,3,9,2,8,3,9,4,4,5,3,4,Female,24,Ecuador,23,23,14,39,1.232826999,3.052396616,0.333333333,0.984375
1,5,1,5,2,7,1,5,2,7,2,7,-5,-5,-5,-5,-5,Female,25,United Kingdom,21,9,4,66,0.258231887,1.609437912,0,0.8
3,6,1,5,2,8,1,5,3,7,2,7,4,4,1,5,3.5,Female,30,Nigeria,16,28,5,51,0.189019007,1.039720771,0.083333333,0.875
1,7,1,6,3,8,1,7,3,7,2,7,3,3,5,5,4,Male,30,Nigeria,47,18,4,30,0.208880255,1.050030414,0.166666667,0.87755102
3,7,1,8,2,9,1,8,2,9,2,9,5,4,4,4,4.25,Male,33,Nigeria,13,13,3,71,0.220400459,1.039720771,0,0.875
2,9,2,7,2,8,1,8,2,8,2,7,3,3,3,3,3,Male,34,Nigeria,3,24,8,64,0.420895806,2.012675845,0.25,0.890625
3,7,3,6,2,9,1,6,2,9,2,9,-2,-4,0,5,-0.25,Female,23,Nigeria,8,13,5,74,0.16080706,0.895879735,0,0.833333333
3,6,1,8,2,6,1,6,2,8,2,7,1,0,1,0,0.5,Female,33,Ghana,16,14,4,66,0.19109992,1.106486467,0.166666667,0.854166667
3,6,2,6,2,6,1,6,3,6,2,6,2,3,1,3,2.25,Male,35,Nigeria,8,31,13,48,0.542096271,1.791759469,0.166666667,0.972222222
1,9,1,9,2,9,1,9,2,9,2,9,5,5,5,5,5,Male,33,Nigeria,22,8,2,68,0.503905266,2.197224577,0,0.888888889
2,8,2,7,2,6,1,7,2,8,2,6,4,0,-3,3,1,Female,22,China,4,25,10,62,0.457889996,2.089751185,0.416666667,0.90625
1,9,2,9,2,6,2,8,2,6,1,8,5,5,5,5,5,Male,25,United Kingdom,9,3,68,20,0.417242764,1.994492023,0.25,0.901234568
1,7,1,9,2,8,1,7,2,7,2,8,3,1,5,3,3,Female,28,United States,24,9,3,65,0.392019912,1.945910149,0.166666667,0.888888889
3,8,3,8,3,8,3,8,2,9,2,9,2,2,1,5,2.5,Female,35,Nigeria,19,11,11,58,0.247938171,1.098612289,0,0.888888889
3,9,3,7,3,9,1,8,3,8,2,9,3,3,3,3,3,Male,39,Nigeria,21,35,7,36,0.234545839,1.098612289,0,0.888888889
1,6,1,8,2,8,3,6,2,8,2,8,2,2,2,0,1.5,Male,60,United Kingdom,22,5,5,67,0.192767236,1.039720771,0,0.875
2,7,1,8,2,6,1,8,1,7,2,6,4,3,3,3,3.25,Male,26,Switzerland,10,65,3,22,0.357841905,1.868834809,0.083333333,0.875
1,6,1,7,3,8,1,5,2,7,2,7,5,2,2,5,3.5,Male,24,Zambia,42,10,4,44,0.11687804,0.804718956,0,0.8
3,6,2,6,2,7,1,7,2,7,2,7,4,4,4,4,4,Female,34,Nigeria,6,16,9,68,0.598194976,1.868834809,0.166666667,0.976190476
3,4,3,4,2,7,3,3,2,7,2,7,1,1,1,1,1,Female,23,China,10,10,10,70,0,0,0,0